,image,station,label
508,509.jpg,dn_20210111,transparent
526,527.jpg,hsn_20210120_4k,detritus
531,532.jpg,hsn_20201227,round cells
542,543.jpg,dn_20210122,Cyanobacteria
547,548.jpg,dn_20210114,detritus
549,550.jpg,dn_20210111,round cells
553,554.jpg,dn_20210122,detritus
555,556.jpg,dn_20210122,Cyanobacteria
572,573.jpg,dn_20210111,round cells
604,605.jpg,hsn_20201227,Codonellidae
628,629.jpg,dn_20210122,Cyanobacteria
635,636.jpg,dn_20210122,detritus
641,642.jpg,dn_20210111,detritus
648,649.jpg,hsn_20210120_4k,dry
649,650.jpg,hsn_20201227,rods
658,659.jpg,dn_20210114,artefact
662,663.jpg,dn_20210122,detritus
666,667.jpg,hsn_20210120_4k,dry
676,677.jpg,dn_20210111,round cells
677,678.jpg,hsn_20201227,detritus
686,687.jpg,dn_20210114,detritus
718,719.jpg,dn_20210111,detritus
720,721.jpg,dn_20210111,Steenstrupiella
730,731.jpg,hsn_20201227,nauplii
738,739.jpg,dn_20210111,multiple<other
760,761.jpg,dn_20210111,detritus
782,783.jpg,dn_20210122,Eucampia
784,785.jpg,dn_20210122,detritus
796,797.jpg,dn_20210114,part<Crustacea
802,803.jpg,hsn_20201227,detritus
809,810.jpg,hsn_20201227,pennate
812,813.jpg,dn_20210122,round cells
828,829.jpg,dn_20210111,detritus
839,840.jpg,dn_20210111,part<Crustacea
844,845.jpg,dn_20210114,detritus
864,865.jpg,hsn_20210120_4k,dry
872,873.jpg,dn_20210111,detritus
881,882.jpg,dn_20210111,artefact
883,884.jpg,dn_20210111,Cyanobacteria
885,886.jpg,dn_20210114,round cells
888,889.jpg,dn_20210122,Cyanobacteria
889,890.jpg,dn_20210111,Cyanobacteria
905,906.jpg,hsn_20210120_4k,Diatoma
908,909.jpg,dn_20210111,detritus
918,919.jpg,dn_20210111,detritus
925,926.jpg,dn_20210122,Cyanobacteria
939,940.jpg,dn_20210111,transparent
944,945.jpg,hsn_20201227,detritus
962,963.jpg,dn_20210111,multiple<other
993,994.jpg,hsn_20201227,detritus
994,995.jpg,dn_20210111,Amphorides
1011,1012.jpg,dn_20210111,Acantharia
1013,1014.jpg,dn_20210122,detritus
1014,1015.jpg,dn_20210111,round cells
1025,1026.jpg,dn_20210122,detritus
1031,1032.jpg,hsn_20201227,detritus
1042,1043.jpg,dn_20210122,rods
1051,1052.jpg,dn_20210111,artefact
1068,1069.jpg,hsn_20201227,lightrods
1070,1071.jpg,hsn_20210120_4k,Diatoma
1079,1080.jpg,dn_20210122,Cyanobacteria
1080,1081.jpg,dn_20210122,Cyanobacteria
1088,1089.jpg,hsn_20210120_4k,Diatoma
1096,1097.jpg,dn_20210111,detritus
1104,1105.jpg,dn_20210122,Cyanobacteria
1106,1107.jpg,dn_20210111,part<Crustacea
1114,1115.jpg,dn_20210111,detritus
1142,1143.jpg,dn_20210111,detritus
1158,1159.jpg,hsn_20210120_4k,detritus
1164,1165.jpg,hsn_20201227,detritus
1168,1169.jpg,dn_20210111,detritus
1176,1177.jpg,dn_20210122,detritus
1193,1194.jpg,hsn_20201227,transparent
1204,1205.jpg,dn_20210111,detritus
1216,1217.jpg,dn_20210122,Cyanobacteria
1217,1218.jpg,hsn_20210120_4k,transparent
1232,1233.jpg,dn_20210111,detritus
1234,1235.jpg,dn_20210122,detritus
1236,1237.jpg,dn_20210111,Ciliophora
1243,1244.jpg,hsn_20210120_4k,detritus
1252,1253.jpg,hsn_20201227,detritus
1259,1260.jpg,dn_20210114,detritus
1273,1274.jpg,dn_20210122,Diatoma
1280,1281.jpg,dn_20210114,nauplii
1287,1288.jpg,dn_20210114,detritus
1293,1294.jpg,dn_20210111,Cyanobacteria
1298,1299.jpg,hsn_20201227,nauplii
1299,1300.jpg,dn_20210114,Chaetoceros
1346,1347.jpg,dn_20210122,detritus
1357,1358.jpg,dn_20210114,round cells
1360,1361.jpg,dn_20210111,Eutintinnus
1364,1365.jpg,dn_20210111,detritus
1365,1366.jpg,dn_20210122,Cyanobacteria
1369,1370.jpg,dn_20210111,Steenstrupiella
1388,1389.jpg,dn_20210122,Cyanobacteria
1394,1395.jpg,dn_20210114,detritus
1398,1399.jpg,dn_20210114,lightrods
1410,1411.jpg,hsn_20210120_4k,detritus
1420,1421.jpg,dn_20210122,Neoceratium pentagonum
1428,1429.jpg,hsn_20201227,detritus
1440,1441.jpg,dn_20210122,round cells
1443,1444.jpg,hsn_20201227,nauplii
1446,1447.jpg,dn_20210122,part<Crustacea
1456,1457.jpg,hsn_20201227,detritus
1468,1469.jpg,hsn_20210120_4k,Hemiaulus
1470,1471.jpg,dn_20210111,round cells
1477,1478.jpg,hsn_20210120_4k,transparent
1496,1497.jpg,dn_20210114,round cells
1497,1498.jpg,dn_20210111,Cyanobacteria
1501,1502.jpg,dn_20210122,Cyanobacteria
1502,1503.jpg,hsn_20201227,detritus
1507,1508.jpg,hsn_20210120_4k,transparent
1537,1538.jpg,dn_20210122,detritus
1559,1560.jpg,dn_20210111,detritus
1564,1565.jpg,dn_20210111,detritus
1585,1586.jpg,dn_20210122,Cyanobacteria
1604,1605.jpg,dn_20210114,detritus
1610,1611.jpg,dn_20210114,Ciliophora
1615,1616.jpg,dn_20210122,Cyanobacteria
1628,1629.jpg,dn_20210114,detritus
1640,1641.jpg,dn_20210111,Rhabdonellopsis
1646,1647.jpg,dn_20210111,Acantharia
1657,1658.jpg,dn_20210111,detritus
1674,1675.jpg,hsn_20210120_4k,dry
1682,1683.jpg,dn_20210114,detritus
1684,1685.jpg,dn_20210111,detritus
1694,1695.jpg,dn_20210111,Copepoda
1717,1718.jpg,dn_20210122,Cyanobacteria
1724,1725.jpg,dn_20210122,detritus
1733,1734.jpg,dn_20210114,detritus
1740,1741.jpg,dn_20210122,Cyanobacteria
1748,1749.jpg,dn_20210122,Cyanobacteria
1749,1750.jpg,dn_20210111,detritus
1773,1774.jpg,dn_20210122,Cyanobacteria
1796,1797.jpg,hsn_20210120_4k,Diatoma
1818,1819.jpg,hsn_20210120_4k,detritus
1821,1822.jpg,dn_20210122,detritus
1822,1823.jpg,dn_20210111,dry
1824,1825.jpg,dn_20210111,detritus
1845,1846.jpg,dn_20210111,Steenstrupiella
1885,1886.jpg,hsn_20201227,part<Crustacea
1910,1911.jpg,dn_20210114,Ciliophora
1912,1913.jpg,dn_20210122,detritus
1928,1929.jpg,dn_20210122,Cyanobacteria
1930,1931.jpg,dn_20210111,detritus
1933,1934.jpg,dn_20210111,detritus
1967,1968.jpg,dn_20210111,Cyanobacteria
1970,1971.jpg,hsn_20201227,Calanoida
1979,1980.jpg,dn_20210122,detritus
1991,1992.jpg,dn_20210122,detritus
2011,2012.jpg,dn_20210114,Neoceratium tripos
2012,2013.jpg,dn_20210122,Cyanobacteria
2017,2018.jpg,dn_20210114,detritus
2018,2019.jpg,dn_20210111,detritus
2031,2032.jpg,dn_20210111,Cyanobacteria
2051,2052.jpg,hsn_20210120_4k,detritus
2062,2063.jpg,dn_20210122,Neoceratium pentagonum
2097,2098.jpg,dn_20210122,detritus
2100,2101.jpg,dn_20210122,Cyanobacteria
2104,2105.jpg,hsn_20210120_4k,transparent
2105,2106.jpg,hsn_20201227,part<Crustacea
2107,2108.jpg,dn_20210122,Cyanobacteria
2109,2110.jpg,hsn_20201227,Undellidae
2129,2130.jpg,dn_20210122,Cyanobacteria
2137,2138.jpg,dn_20210122,lightrods
2176,2177.jpg,dn_20210122,Cyanobacteria
2184,2185.jpg,dn_20210111,round cells
2185,2186.jpg,dn_20210122,Dinophyceae X
2202,2203.jpg,dn_20210111,detritus
2214,2215.jpg,dn_20210111,round cells
2216,2217.jpg,hsn_20210120_4k,Cyanobacteria
2248,2249.jpg,hsn_20210120_4k,dry
2255,2256.jpg,dn_20210122,Cyanobacteria
2263,2264.jpg,dn_20210111,Podolampas
2266,2267.jpg,hsn_20201227,detritus
2276,2277.jpg,dn_20210122,Cyanobacteria
2292,2293.jpg,dn_20210111,detritus
2296,2297.jpg,hsn_20210120_4k,transparent
2299,2300.jpg,hsn_20210120_4k,artefact
2300,2301.jpg,dn_20210111,detritus
2301,2302.jpg,hsn_20210120_4k,Diatoma
2335,2336.jpg,hsn_20210120_4k,round cells
2339,2340.jpg,dn_20210122,round cells
2349,2350.jpg,hsn_20210120_4k,dry
2356,2357.jpg,dn_20210122,Dinophyceae X
2367,2368.jpg,dn_20210111,part<Ciliophora
2382,2383.jpg,hsn_20210120_4k,Hemiaulus
2384,2385.jpg,hsn_20210120_4k,Hemiaulus
2397,2398.jpg,dn_20210111,artefact
2410,2411.jpg,dn_20210111,detritus
2416,2417.jpg,hsn_20201227,Coscinodiscophycidae
2420,2421.jpg,hsn_20201227,Coscinodiscophycidae
2422,2423.jpg,dn_20210122,part<Crustacea
2425,2426.jpg,hsn_20210120_4k,Cyanobacteria
2430,2431.jpg,hsn_20201227,Neoceratium fusus
2436,2437.jpg,hsn_20210120_4k,detritus
2450,2451.jpg,hsn_20210120_4k,detritus
2461,2462.jpg,hsn_20210120_4k,Diatoma
2473,2474.jpg,dn_20210111,detritus
2509,2510.jpg,hsn_20201227,Calanoida
2557,2558.jpg,dn_20210111,Cyanobacteria
2558,2559.jpg,dn_20210122,detritus
2561,2562.jpg,dn_20210111,Cyanobacteria
2569,2570.jpg,dn_20210122,round cells
2584,2585.jpg,dn_20210114,part<Crustacea
2589,2590.jpg,dn_20210111,detritus
2602,2603.jpg,dn_20210122,Diatoma
2622,2623.jpg,dn_20210111,detritus
2631,2632.jpg,dn_20210114,detritus
2645,2646.jpg,dn_20210114,detritus
2650,2651.jpg,hsn_20201227,lightrods
2678,2679.jpg,hsn_20210120_4k,detritus
2683,2684.jpg,hsn_20201227,Cyanobacteria
2687,2688.jpg,dn_20210111,detritus
2691,2692.jpg,dn_20210122,detritus
2695,2696.jpg,hsn_20201227,detritus
2701,2702.jpg,hsn_20210120_4k,Cyanobacteria
2702,2703.jpg,dn_20210114,detritus
2703,2704.jpg,dn_20210122,Cyanobacteria
2706,2707.jpg,hsn_20201227,nauplii
2724,2725.jpg,hsn_20210120_4k,detritus
2725,2726.jpg,hsn_20210120_4k,dry
2728,2729.jpg,hsn_20201227,detritus
2729,2730.jpg,dn_20210122,detritus
2741,2742.jpg,dn_20210111,Chaetoceros
2767,2768.jpg,dn_20210114,detritus
2770,2771.jpg,dn_20210122,Cyanobacteria
2780,2781.jpg,dn_20210122,Neoceratium pentagonum
2785,2786.jpg,dn_20210122,Diatoma
2796,2797.jpg,dn_20210111,detritus
2809,2810.jpg,dn_20210111,Cyanobacteria
2816,2817.jpg,dn_20210111,detritus
2817,2818.jpg,dn_20210122,detritus
2820,2821.jpg,dn_20210122,Diatoma
2828,2829.jpg,dn_20210114,detritus
2847,2848.jpg,hsn_20201227,detritus
2849,2850.jpg,dn_20210122,detritus
2855,2856.jpg,dn_20210111,detritus
2858,2859.jpg,dn_20210122,detritus
2869,2870.jpg,dn_20210111,Cyanobacteria
2874,2875.jpg,dn_20210111,detritus
2889,2890.jpg,dn_20210111,detritus
2894,2895.jpg,dn_20210122,detritus
2938,2939.jpg,hsn_20201227,detritus
2953,2954.jpg,hsn_20210120_4k,detritus
2955,2956.jpg,hsn_20210120_4k,Hemiaulus
2969,2970.jpg,dn_20210122,Cyanobacteria
2985,2986.jpg,dn_20210111,detritus
2991,2992.jpg,dn_20210111,detritus
3004,3005.jpg,hsn_20201227,detritus
3008,3009.jpg,dn_20210111,detritus
3020,3021.jpg,dn_20210122,Neoceratium pentagonum
3025,3026.jpg,dn_20210111,detritus
3030,3031.jpg,dn_20210111,detritus
3051,3052.jpg,hsn_20210120_4k,detritus
3069,3070.jpg,dn_20210111,detritus
3078,3079.jpg,dn_20210114,detritus
3108,3109.jpg,dn_20210122,Cyanobacteria
3109,3110.jpg,dn_20210122,detritus
3110,3111.jpg,dn_20210111,detritus
3114,3115.jpg,dn_20210111,Steenstrupiella
3120,3121.jpg,dn_20210122,Diatoma
3122,3123.jpg,hsn_20210120_4k,transparent
3123,3124.jpg,hsn_20210120_4k,detritus
3125,3126.jpg,dn_20210111,round cells
3150,3151.jpg,dn_20210111,part<Crustacea
3151,3152.jpg,dn_20210111,detritus
3153,3154.jpg,dn_20210122,Cyanobacteria
3156,3157.jpg,dn_20210111,detritus
3160,3161.jpg,dn_20210111,detritus
3170,3171.jpg,hsn_20210120_4k,Diatoma
3172,3173.jpg,dn_20210111,detritus
3182,3183.jpg,hsn_20210120_4k,detritus
3201,3202.jpg,dn_20210111,detritus
3262,3263.jpg,dn_20210122,detritus
3265,3266.jpg,dn_20210111,round cells
3281,3282.jpg,dn_20210111,detritus
3284,3285.jpg,dn_20210122,Cyanobacteria
3304,3305.jpg,dn_20210122,detritus
3306,3307.jpg,dn_20210111,detritus
3309,3310.jpg,dn_20210111,detritus
3323,3324.jpg,dn_20210111,artefact
3325,3326.jpg,dn_20210122,detritus
3345,3346.jpg,dn_20210122,Neoceratium pentagonum
3354,3355.jpg,hsn_20210120_4k,Cyanobacteria
3363,3364.jpg,dn_20210111,Cyanobacteria
3375,3376.jpg,dn_20210122,Cyanobacteria
3377,3378.jpg,dn_20210122,detritus
3392,3393.jpg,dn_20210111,round cells
3415,3416.jpg,dn_20210111,Cyanobacteria
3418,3419.jpg,dn_20210122,Diatoma
3434,3435.jpg,dn_20210111,detritus
3435,3436.jpg,dn_20210111,Cyanobacteria
3493,3494.jpg,dn_20210122,Cyanobacteria
3497,3498.jpg,dn_20210111,transparent
3498,3499.jpg,dn_20210122,Diatoma
3499,3500.jpg,dn_20210111,round cells
3506,3507.jpg,hsn_20210120_4k,Diatoma
3538,3539.jpg,dn_20210122,Neoceratium tripos
3566,3567.jpg,hsn_20210120_4k,part<Crustacea
3586,3587.jpg,dn_20210111,Salpingella
3590,3591.jpg,hsn_20210120_4k,transparent
3629,3630.jpg,dn_20210111,Cyanobacteria
3658,3659.jpg,dn_20210111,detritus
3663,3664.jpg,hsn_20201227,detritus
3674,3675.jpg,hsn_20210120_4k,Diatoma
3679,3680.jpg,dn_20210111,detritus
3691,3692.jpg,dn_20210122,Cyanobacteria
3697,3698.jpg,hsn_20210120_4k,detritus
3699,3700.jpg,hsn_20201227,detritus
3717,3718.jpg,dn_20210122,Cyanobacteria
3719,3720.jpg,dn_20210111,detritus
3738,3739.jpg,dn_20210122,Diatoma
3753,3754.jpg,dn_20210114,detritus
3770,3771.jpg,dn_20210122,Cyanobacteria
3773,3774.jpg,dn_20210111,Bacillariophyta
3798,3799.jpg,dn_20210122,Cyanobacteria
3828,3829.jpg,hsn_20210120_4k,detritus
3832,3833.jpg,dn_20210111,detritus
3834,3835.jpg,dn_20210111,detritus
3850,3851.jpg,dn_20210122,detritus
3861,3862.jpg,dn_20210114,detritus
3900,3901.jpg,hsn_20201227,lightrods
3905,3906.jpg,dn_20210114,lightrods
3913,3914.jpg,dn_20210122,detritus
3924,3925.jpg,dn_20210111,Cyanobacteria
3928,3929.jpg,dn_20210114,detritus
3940,3941.jpg,dn_20210114,multiple<other
3993,3994.jpg,dn_20210114,Ciliophora
3996,3997.jpg,hsn_20210120_4k,Cyanobacteria
3997,3998.jpg,hsn_20201227,Neoceratium
3999,4000.jpg,dn_20210111,detritus
4027,4028.jpg,dn_20210122,detritus
4035,4036.jpg,dn_20210111,ghost
4038,4039.jpg,dn_20210111,detritus
4054,4055.jpg,dn_20210114,detritus
4062,4063.jpg,hsn_20210120_4k,detritus
4076,4077.jpg,dn_20210122,Cyanobacteria
4114,4115.jpg,dn_20210111,detritus
4120,4121.jpg,dn_20210111,detritus
4121,4122.jpg,dn_20210111,detritus
4131,4132.jpg,dn_20210111,detritus
4137,4138.jpg,hsn_20210120_4k,Diatoma
4140,4141.jpg,dn_20210111,detritus
4150,4151.jpg,dn_20210111,Cyanobacteria
4166,4167.jpg,dn_20210111,Cyanobacteria
4168,4169.jpg,dn_20210111,Neoceratium tripos
4178,4179.jpg,dn_20210114,detritus
4179,4180.jpg,hsn_20210120_4k,Diatoma
4186,4187.jpg,hsn_20210120_4k,detritus
4192,4193.jpg,dn_20210122,ghost
4234,4235.jpg,dn_20210122,detritus
4237,4238.jpg,dn_20210122,detritus
4267,4268.jpg,dn_20210122,Cyanobacteria
4295,4296.jpg,dn_20210111,Neoceratium pentagonum
4315,4316.jpg,dn_20210122,Cyanobacteria
4321,4322.jpg,dn_20210111,Rhizaria
4355,4356.jpg,dn_20210111,detritus
4364,4365.jpg,hsn_20210120_4k,detritus
4374,4375.jpg,dn_20210122,Cyanobacteria
4382,4383.jpg,dn_20210114,detritus
4391,4392.jpg,dn_20210111,multiple<other
4397,4398.jpg,dn_20210111,multiple<other
4400,4401.jpg,hsn_20201227,part<Crustacea
4401,4402.jpg,hsn_20210120_4k,dry
4405,4406.jpg,dn_20210111,detritus
4427,4428.jpg,dn_20210122,round cells
4432,4433.jpg,hsn_20201227,Pyrocystaceae
4449,4450.jpg,dn_20210111,Steenstrupiella
4458,4459.jpg,hsn_20210120_4k,Cyanobacteria
4468,4469.jpg,dn_20210122,Cyanobacteria
4470,4471.jpg,hsn_20210120_4k,dry
4473,4474.jpg,hsn_20201227,transparent
4474,4475.jpg,dn_20210122,Cyanobacteria
4476,4477.jpg,dn_20210111,Cyanobacteria
4478,4479.jpg,dn_20210114,detritus
4497,4498.jpg,hsn_20210120_4k,Cyanobacteria
4505,4506.jpg,dn_20210111,Rhabdonella
4514,4515.jpg,dn_20210122,cyst
4522,4523.jpg,dn_20210111,ghost
4528,4529.jpg,dn_20210111,detritus
4537,4538.jpg,dn_20210111,detritus
4540,4541.jpg,dn_20210122,Cyanobacteria
4552,4553.jpg,dn_20210111,multiple<other
4559,4560.jpg,hsn_20210120_4k,Diatoma
4570,4571.jpg,hsn_20210120_4k,dry
4587,4588.jpg,dn_20210111,detritus
4591,4592.jpg,dn_20210114,detritus
4594,4595.jpg,hsn_20210120_4k,Hemiaulus
4607,4608.jpg,dn_20210122,nauplii
4611,4612.jpg,dn_20210114,Coscinodiscophycidae
4614,4615.jpg,dn_20210114,detritus
4618,4619.jpg,hsn_20210120_4k,detritus
4627,4628.jpg,dn_20210122,detritus
4657,4658.jpg,hsn_20210120_4k,detritus
4658,4659.jpg,dn_20210111,detritus
4667,4668.jpg,dn_20210111,detritus
4669,4670.jpg,dn_20210111,nauplii
4672,4673.jpg,dn_20210111,detritus
4675,4676.jpg,dn_20210122,detritus
4680,4681.jpg,dn_20210122,Diatoma
4686,4687.jpg,dn_20210111,detritus
4701,4702.jpg,dn_20210122,Cyanobacteria
4720,4721.jpg,dn_20210111,detritus
4752,4753.jpg,dn_20210111,Cyanobacteria
4757,4758.jpg,dn_20210122,Cyanobacteria
4759,4760.jpg,dn_20210114,detritus
4760,4761.jpg,dn_20210122,Cyanobacteria
4761,4762.jpg,dn_20210114,detritus
4768,4769.jpg,dn_20210122,Neoceratium pentagonum
4771,4772.jpg,dn_20210114,Ceratocorys
4780,4781.jpg,dn_20210114,round cells
4785,4786.jpg,dn_20210111,Dadayiella
4790,4791.jpg,dn_20210122,Cyanobacteria
4812,4813.jpg,hsn_20201227,detritus
4818,4819.jpg,dn_20210122,detritus
4822,4823.jpg,dn_20210122,part<Crustacea
4842,4843.jpg,dn_20210111,detritus
4865,4866.jpg,dn_20210111,Ciliophora
4872,4873.jpg,dn_20210114,detritus
4883,4884.jpg,dn_20210111,multiple<other
4895,4896.jpg,dn_20210114,round cells
4896,4897.jpg,dn_20210111,detritus
4916,4917.jpg,dn_20210111,detritus
4939,4940.jpg,dn_20210114,lightrods
4950,4951.jpg,dn_20210122,Cyanobacteria
4961,4962.jpg,hsn_20201227,detritus
4962,4963.jpg,dn_20210122,Cyanobacteria
4965,4966.jpg,dn_20210122,detritus
4969,4970.jpg,dn_20210122,Cyanobacteria
5045,5046.jpg,dn_20210114,detritus
5070,5071.jpg,dn_20210122,Cyanobacteria
5080,5081.jpg,hsn_20210120_4k,dry
5082,5083.jpg,dn_20210122,detritus
5090,5091.jpg,hsn_20210120_4k,detritus
5117,5118.jpg,hsn_20201227,Neoceratium fusus
5135,5136.jpg,hsn_20201227,nauplii
5153,5154.jpg,dn_20210122,Neoceratium pentagonum
5164,5165.jpg,dn_20210111,lightrods
5171,5172.jpg,dn_20210122,Cyanobacteria
5183,5184.jpg,dn_20210111,detritus
5192,5193.jpg,dn_20210122,Cyanobacteria
5193,5194.jpg,dn_20210122,part<Crustacea
5202,5203.jpg,dn_20210111,Cyanobacteria
5250,5251.jpg,dn_20210114,detritus
5286,5287.jpg,dn_20210111,Cyanobacteria
5287,5288.jpg,dn_20210111,Cyanobacteria
5303,5304.jpg,dn_20210114,multiple<other
5309,5310.jpg,dn_20210114,Neoceratium pentagonum
5314,5315.jpg,dn_20210122,Cyanobacteria
5315,5316.jpg,dn_20210111,detritus
5328,5329.jpg,dn_20210111,detritus
5329,5330.jpg,hsn_20210120_4k,detritus
5335,5336.jpg,dn_20210114,round cells
5342,5343.jpg,dn_20210111,transparent
5348,5349.jpg,dn_20210111,Eucampia
5360,5361.jpg,dn_20210122,Gonyaulacales
5363,5364.jpg,dn_20210111,detritus
5367,5368.jpg,dn_20210111,Cyanobacteria
5369,5370.jpg,dn_20210111,Dinophyceae X
5377,5378.jpg,dn_20210122,Cyanobacteria
5381,5382.jpg,dn_20210122,Cyanobacteria
5391,5392.jpg,dn_20210111,Cyanobacteria
5396,5397.jpg,dn_20210111,artefact
5399,5400.jpg,dn_20210122,Cyanobacteria
5401,5402.jpg,dn_20210122,detritus
5407,5408.jpg,hsn_20201227,part<Crustacea
5442,5443.jpg,dn_20210111,round cells
5443,5444.jpg,hsn_20201227,transparent
5453,5454.jpg,dn_20210114,detritus
5456,5457.jpg,dn_20210114,detritus
5466,5467.jpg,dn_20210111,detritus
5499,5500.jpg,dn_20210111,detritus
5511,5512.jpg,dn_20210111,lightrods
5512,5513.jpg,hsn_20201227,Chaetoceros
5514,5515.jpg,hsn_20201227,nauplii
5524,5525.jpg,dn_20210111,multiple<other
5532,5533.jpg,dn_20210111,transparent
5533,5534.jpg,dn_20210111,artefact
5553,5554.jpg,dn_20210122,Cyanobacteria
5597,5598.jpg,dn_20210111,round cells
5601,5602.jpg,dn_20210114,detritus
5604,5605.jpg,dn_20210114,detritus
5615,5616.jpg,dn_20210111,Cyanobacteria
5630,5631.jpg,dn_20210111,Chaetoceros
5634,5635.jpg,dn_20210122,Chaetoceros
5665,5666.jpg,dn_20210114,detritus
5676,5677.jpg,dn_20210111,Eutintinnus
5679,5680.jpg,dn_20210111,detritus
5698,5699.jpg,dn_20210122,Cyanobacteria
5709,5710.jpg,dn_20210111,Neoceratium pentagonum
5713,5714.jpg,dn_20210122,transparent
5722,5723.jpg,dn_20210122,Cyanobacteria
5727,5728.jpg,dn_20210111,multiple<other
5738,5739.jpg,hsn_20210120_4k,Diatoma
5746,5747.jpg,dn_20210122,detritus
5760,5761.jpg,dn_20210122,Cyanobacteria
5761,5762.jpg,dn_20210111,transparent
5764,5765.jpg,hsn_20210120_4k,detritus
5769,5770.jpg,dn_20210122,Diatoma
5778,5779.jpg,dn_20210114,Neoceratium pentagonum
5784,5785.jpg,hsn_20201227,Coscinodiscophycidae
5803,5804.jpg,hsn_20210120_4k,detritus
5811,5812.jpg,dn_20210111,Cyanobacteria
5814,5815.jpg,dn_20210111,lightrods
5820,5821.jpg,hsn_20210120_4k,detritus
5821,5822.jpg,dn_20210111,round cells
5822,5823.jpg,dn_20210122,Cyanobacteria
5827,5828.jpg,dn_20210111,nauplii
5831,5832.jpg,dn_20210111,Cyanobacteria
5845,5846.jpg,dn_20210122,Cyanobacteria
5870,5871.jpg,dn_20210122,Ciliophora
5889,5890.jpg,hsn_20210120_4k,Diatoma
5955,5956.jpg,hsn_20210120_4k,other
5974,5975.jpg,hsn_20210120_4k,dry
5990,5991.jpg,dn_20210111,detritus
6008,6009.jpg,hsn_20201227,rods
6020,6021.jpg,hsn_20210120_4k,artefact
6026,6027.jpg,dn_20210114,detritus
6036,6037.jpg,dn_20210111,round cells
6056,6057.jpg,dn_20210111,Cyanobacteria
6058,6059.jpg,dn_20210111,multiple<other
6061,6062.jpg,dn_20210114,round cells
6080,6081.jpg,dn_20210111,detritus
6118,6119.jpg,dn_20210122,detritus
6123,6124.jpg,dn_20210111,detritus
6136,6137.jpg,dn_20210122,detritus
6138,6139.jpg,hsn_20210120_4k,Diatoma
6150,6151.jpg,dn_20210114,detritus
6151,6152.jpg,dn_20210111,Acantharia
6161,6162.jpg,dn_20210122,Cyanobacteria
6167,6168.jpg,hsn_20201227,detritus
6172,6173.jpg,hsn_20201227,nauplii
6187,6188.jpg,dn_20210111,detritus
6188,6189.jpg,dn_20210122,Cyanobacteria
6218,6219.jpg,dn_20210122,Cyanobacteria
6220,6221.jpg,dn_20210111,Protoperidinium
6231,6232.jpg,hsn_20201227,transparent
6233,6234.jpg,dn_20210122,Cyanobacteria
6248,6249.jpg,dn_20210111,detritus
6256,6257.jpg,dn_20210114,detritus
6260,6261.jpg,hsn_20201227,Neoceratium massiliense
6264,6265.jpg,dn_20210111,Cyanobacteria
6285,6286.jpg,dn_20210111,part<Crustacea
6287,6288.jpg,hsn_20201227,Chaetoceros
6305,6306.jpg,hsn_20210120_4k,Diatoma
6329,6330.jpg,hsn_20210120_4k,dry
6332,6333.jpg,dn_20210114,Neoceratium macroceros
6341,6342.jpg,dn_20210111,detritus
6353,6354.jpg,hsn_20201227,detritus
6364,6365.jpg,dn_20210122,lightrods
6374,6375.jpg,dn_20210111,artefact
